"","countrycode","rank","countryname","gdpinusd","income.group"
"1","TUV",190,"Tuvalu",40,"Lower middle income"
"2","KIR",189,"Kiribati",175,"Lower middle income"
"3","MHL",188,"Marshall Islands",182,"Lower middle income"
"4","PLW",187,"Palau",228,"Upper middle income"
"5","STP",186,"São Tomé and Principe",263,"Lower middle income"
"6","FSM",185,"Micronesia, Fed. Sts.",326,"Lower middle income"
"7","TON",184,"Tonga",472,"Lower middle income"
"8","DMA",183,"Dominica",480,"Upper middle income"
"9","COM",182,"Comoros",596,"Low income"
"10","WSM",181,"Samoa",684,"Lower middle income"
"11","VCT",180,"St. Vincent and the Grenadines",713,"Upper middle income"
"12","GRD",178,"Grenada",767,"Upper middle income"
"13","KNA",178,"St. Kitts and Nevis",767,"Upper middle income"
"14","VUT",177,"Vanuatu",787,"Lower middle income"
"15","GNB",176,"Guinea-Bissau",822,"Low income"
"16","GMB",175,"Gambia, The",917,"Low income"
"17","SLB",174,"Solomon Islands",1008,"Low income"
"18","SYC",173,"Seychelles",1129,"Upper middle income"
"19","ATG",172,"Antigua and Barbuda",1134,"Upper middle income"
"20","LCA",171,"St. Lucia",1239,"Upper middle income"
"21","TMP",170,"Timor-Leste",1293,"Lower middle income"
"22","BLZ",169,"Belize",1493,"Lower middle income"
"23","LBR",168,"Liberia",1734,"Low income"
"24","BTN",167,"Bhutan",1780,"Lower middle income"
"25","CPV",166,"Cape Verde",1827,"Lower middle income"
"26","CAF",165,"Central African Republic",2184,"Low income"
"27","MDV",164,"Maldives",2222,"Lower middle income"
"28","LSO",163,"Lesotho",2448,"Lower middle income"
"29","BDI",162,"Burundi",2472,"Low income"
"30","ABW",161,"Aruba",2584,"High income: nonOECD"
"31","GUY",160,"Guyana",2851,"Lower middle income"
"32","ERI",159,"Eritrea",3092,"Low income"
"33","SWZ",158,"Swaziland",3744,"Lower middle income"
"34","SLE",157,"Sierra Leone",3796,"Low income"
"35","TGO",156,"Togo",3814,"Low income"
"36","FJI",155,"Fiji",3908,"Upper middle income"
"37","MRT",154,"Mauritania",4199,"Low income"
